,"Momentum(AAPL,20d)","MeanReversion(AAPL,20d,z>1.0)","SMACross(AAPL,20/50)","RSI(AAPL,14d,buy<30)","BollingerBreakout(AAPL,20d,k=2.0)",BuyHold(AAPL),EqualWeight(SMA20>50),"InverseVol(SMA20>50,vol60d)",EW_Universe(passive),BM1_SMACross(20/50),"BM2_TopK_Mom(30d,K=10)","NEW1_TopKLongMomInvVol(L90,K8)","NEW2_RegimeMom(L60,K10,50/200)"
2022-04-27,924271.7191760234,965334.7055504989,894379.0700331315,1054521.3028730187,900787.0396966739,888189.2443839347,906962.401316252,932306.3098881592,892119.449874694,906962.401316252,806928.2197279772,937582.6312929993,1000000.0
2022-04-28,924271.7191760234,1008924.8975939428,934765.2233519936,1102138.7622286566,900787.0396966739,928295.8928976627,921381.2348173027,943978.6513148507,916618.1977144189,921381.2348173027,818824.9564786552,946326.7385680382,1000000.0
2022-04-29,924271.7191760234,1008924.8975939428,900548.3834114019,1061795.2570603015,900787.0396966739,894315.8611300205,888182.2040172971,912817.8187854418,882596.456205076,888182.2040172971,795227.7761659884,927400.1473644568,1000000.0
2022-05-02,924271.7191760234,1010908.8285692307,902319.2048440536,1063883.1513177622,900787.0396966739,896074.4270478784,891182.7703830115,912186.3428966292,894837.6519978358,891182.7703830115,791349.4874557629,916480.4146040266,1000000.0
2022-05-03,924271.7191760234,1020636.4901254805,911001.9421912486,1074120.568322086,900787.0396966739,904697.0728386657,888151.1769207099,911267.9523232133,895887.6920860427,888151.1769207099,804722.9280564557,925150.3872217034,1000000.0
2022-05-04,924271.7191760234,1062491.0339267137,911001.9421912486,1118168.4020117428,900787.0396966739,941797.1409121853,909819.6084333964,932779.7881256617,922902.1710194383,909819.6084333964,825346.8701495155,943180.047223889,1000000.0
2022-05-05,924271.7191760234,1062491.0339267137,911001.9421912486,1055868.3314262193,900787.0396966739,889323.8030406171,879563.3816806629,905172.468141534,878615.8589210412,879563.3816806629,804079.543361256,928830.1933363129,1000000.0
2022-05-06,924271.7191760234,1065947.5015372427,911001.9421912486,1059303.2542368805,900787.0396966739,892216.9276151577,863823.4167551101,893202.9397985259,861246.2298390366,863823.4167551101,796490.6920676775,921743.9902968088,1000000.0
2022-05-09,924271.7191760234,1030569.5389353582,911001.9421912486,1024145.8089983473,900787.0396966739,862604.9466757432,837718.1382551205,874311.8378565017,819041.6199431281,837718.1382551205,787246.0340353453,903179.3125452051,1000000.0
2022-05-10,924271.7191760234,1047174.1382408403,911001.9421912486,1040646.9087750535,900787.0396966739,876503.2902201043,841454.6748003457,876557.1534257608,826827.0851569722,841454.6748003457,781976.2860196595,902873.9171689089,1000000.0
2022-05-11,924271.7191760234,992887.2645931209,911001.9421912486,986698.4152193731,900787.0396966739,831064.2160199683,836133.63666978,871438.2343343162,803219.7326273903,836133.63666978,778369.8543107607,904118.6956752856,1000000.0
2022-05-12,924271.7191760234,966184.3579549169,911001.9421912486,960161.952721323,900787.0396966739,808713.410483322,834141.0908041107,870405.0194770775,813115.5134483547,834141.0908041107,768339.7343118356,905877.6494591665,1000000.0
2022-05-13,924271.7191760234,997021.4709508125,911001.9421912486,990806.8523066347,900787.0396966739,834524.61992285,850807.0563982767,884669.6564388075,851065.9209906479,850807.0563982767,785445.825770379,923586.2290057784,1000000.0
2022-05-16,924271.7191760234,986380.9726203604,911001.9421912486,980232.6781640105,900787.0396966739,825618.334467892,852966.3374150167,886818.3293452894,838226.555903969,852966.3374150167,785369.3506695221,927225.4014641736,1000000.0
2022-05-17,924271.7191760234,1011457.3062653745,911001.9421912486,1005152.7063982202,900787.0396966739,846607.6696165192,859941.9974898507,888627.1803799683,860855.4648949945,859941.9974898507,792317.2501386491,934716.85643978,1000000.0
2022-05-18,924271.7191760234,1011457.3062653745,911001.9421912486,948442.8043084786,900787.0396966739,798842.7501701838,830856.4278394209,859874.9462232101,820605.7289971145,830856.4278394209,759159.6299280938,912341.1239024422,1000000.0
2022-05-19,924271.7191760234,986533.5961905213,911001.9421912486,925071.8589104498,900787.0396966739,779158.1574767416,827674.5451061947,856914.728110321,828236.5027634047,827674.5451061947,758717.85398741,914514.8887056707,1000000.0
2022-05-20,924271.7191760234,988257.4262821538,911001.9421912486,926688.2931742904,900787.0396966739,780519.6278647606,812783.5703917367,845710.8378395422,827347.8077207857,812783.5703917367,762501.4751757858,917080.1160304326,1000000.0
2022-05-23,924271.7191760234,1027905.5183897016,911001.9421912486,963866.2812426245,900787.0396966739,811833.4467891991,825015.2255237367,855491.6977556539,836489.0062734907,825015.2255237367,767520.124406742,935517.6863821958,1000000.0
2022-05-24,924271.7191760234,1027905.5183897016,911001.9421912486,945344.6386361176,900787.0396966739,796233.265259814,832542.0832263599,865447.1051973037,818281.2106092031,832542.0832263599,763384.9902230897,944917.4142154003,1000000.0
2022-05-25,924271.7191760234,1029077.2545178175,911001.9421912486,946422.2614786779,900787.0396966739,797140.91218516,838891.8091235725,869639.8491417627,833402.6653579527,838891.8091235725,770527.6517843779,950026.5020851882,1000000.0
2022-05-26,924271.7191760234,1052951.3781281796,911001.9421912486,968378.8268958462,900787.0396966739,815634.2182890855,837854.7427978687,867082.6363016769,855884.2236647271,837854.7427978687,787663.2156413073,952126.6192514776,1000000.0
2022-05-27,924271.7191760234,1052951.3781281796,911001.9421912486,1007846.763504621,900787.0396966739,848876.7869298842,850212.0441940043,879514.6223798443,884412.6641479104,850212.0441940043,806449.0743495307,965349.7680152159,1000000.0
2022-05-31,924271.7191760234,1052951.3781281796,911001.9421912486,1002458.6492918191,900787.0396966739,844338.5523031541,840938.8643876534,870892.606067291,877350.7511394236,840938.8643876534,800543.0703808913,948810.5518265875,1000000.0
2022-06-01,924271.7191760234,1052951.3781281796,911001.9421912486,1001583.0807322387,900787.0396966739,843601.0891763105,835146.7581231379,865963.8094190301,866269.4763586933,835146.7581231379,789609.7902411345,949801.1159126887,1000000.0
2022-06-02,924271.7191760234,1052951.3781281796,911001.9421912486,1018420.9376472451,900787.0396966739,857783.0723848423,842164.4215953387,870001.5273242202,894611.4603593844,842164.4215953387,817656.1114604755,950383.8122074191,1000000.0
2022-06-03,924271.7191760234,1052951.3781281796,911001.9421912486,979155.0553214502,900787.0396966739,824710.687542546,833137.5092307158,862675.0238032808,876017.9191921104,833137.5092307158,803202.3622405458,949142.162355116,1000000.0
2022-06-06,924271.7191760234,1052951.3781281796,911001.9421912486,984273.763823612,900787.0396966739,829022.0104379395,832519.4502881833,860835.764011547,878795.6264037834,832519.4502881833,808808.9109837881,952096.5393844846,1000000.0
2022-06-07,924271.7191760234,1052951.3781281796,911001.9421912486,1001583.0807322387,900787.0396966739,843601.0891763105,844019.5944078434,867354.8747958284,889527.7539391664,844019.5944078434,822949.9341114009,961287.029250185,1000000.0
2022-06-08,924271.7191760234,1052951.3781281796,911001.9421912486,996531.7236577368,900787.0396966739,839346.4942137508,836815.0671630403,855460.8634276978,881556.0921509765,836815.0671630403,816042.3040352938,954495.6617141375,1000000.0
2022-06-09,924271.7191760234,1052951.3781281796,911001.9421912486,960700.7641426031,900787.0396966739,809167.2339459949,817116.919556673,838377.7427646436,857099.5331816232,817116.919556673,783596.1966221294,925922.401736357,1000000.0
2022-06-10,924271.7191760234,1052951.3781281796,911001.9421912486,923590.1275019292,900787.0396966739,777910.1429543907,797551.5814261452,821092.2474591966,828917.5353414621,797551.5814261452,760927.9656069856,911331.0034915177,1000000.0
2022-06-13,924271.7191760234,1012639.3039272539,911001.9421912486,888230.6279804158,900787.0396966739,748127.9782164738,755927.145624525,784126.8306143031,786658.3706181903,755927.145624525,716916.651594203,874223.6184121163,1000000.0
2022-06-14,924271.7191760234,1019396.3754123615,911001.9421912486,894157.553614498,900787.0396966739,753120.036305877,760381.0366259958,783304.216195006,786044.5972981929,760381.0366259958,724128.848297195,864596.7257470281,1000000.0
2022-06-15,924271.7191760234,1039897.9445774037,911001.9421912486,912140.3847997249,900787.0396966739,768266.3943725892,768922.1492315992,791514.933750712,803490.4452961771,768922.1492315992,723683.1041002332,863799.4030711772,1000000.0
2022-06-16,924271.7191760234,998664.4515375997,911001.9421912486,875972.6681462912,900787.0396966739,737803.4944406627,734936.8897701084,760706.3251531712,769272.5206089895,734936.8897701084,698327.3642598337,842552.2579786872,1000000.0
